,company,name,color,type,ratings,people_review,offer_price,real_price,offer
195,Boult,"Audio X50 with 40Hr Battery, Quad Mic ENC, 45ms U...",White, True Wireless,4,"28,901","₹1,199","₹4,999",76% off
196,U&i,Trendy 24Hrs Battery Backup Bluetooth Neckband with...,Dark Green, In the Ear,4.2,20,₹299,"₹1,999",85% off
197,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,3.6,"6,182",₹546,"₹1,999",72% off
198,Boult,"Audio XCharge with ENC Mic, 28H Playtime, Ultra-F...",Teal Blue, In the Ear,3.8,"71,799",₹799,"₹4,999",84% off
199,IZWI,New 2023 BLAST BASS 233 +Pro Neckband Wireless Wit...,BLUE 35HOUR BATTERY BACKUP, In the Ear,3.9,109,₹449,"₹3,999",88% off
200,NOYMI,Waterproof Bluetooth wireless neckband earphone w...,Silver, In the Ear,3.7,"1,271",₹474,"₹1,599",70% off
201,Boult,"Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",Blue, In the Ear,4,"49,704",₹799,"₹4,499",82% off
202,PRANSHU,SHOPPE Magnetic Earphone Stereo Headphone Heads...,Gold, In the Ear,3.9,131,₹499,"₹1,299",61% off
203,truke,"Yoga Mystic lite Earbuds with Game Mode, 40ms Lat...",Blue  Black, In the Ear,4.1,"2,304",₹699,"₹2,499",72% off
204,Mivi,"Collar D25 Earphones with fast charge, 24Hours pla...",Red, In the Ear,4,"30,198",₹699,"₹2,999",76% off
205,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.7,"8,896",₹546,"₹1,999",72% off
206,Mivi,"DuoPods K5 TWS Earbuds Metallic Finish, HD calling...",Coral Plush, True Wireless,4.2,308,"₹1,399","₹3,999",65% off
207,OnePlus,Nord Buds 2 True Wireless Earbuds with 25dB Act...,Lightning White, True Wireless,4.3,"2,432","₹2,999","₹3,299",9% off
208,boAt,"Airdopes 192 with Beast Mode(40ms), 30 Hours Playb...",White Sabre, True Wireless,4,"4,882","₹1,899","₹3,599",47% off
209,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",White, In the Ear,4.2,"14,276","₹1,299","₹4,999",74% off
210,Highnotes,F9-5 Earbuds/TWs/buds 5.0 Earbuds with 280H P...,Black, True Wireless,3.8,"1,066",₹539,"₹7,999",93% off
211,LONGWINGS,Deep Bass Bluetooth 5.2 Light Weight with Wir...,White, True Wireless,3.8,52,₹499,"₹2,999",83% off
212,FUR,JADEN AirJams GenZ TWS Earbuds 24 Hour Battery HD M...,Black, True Wireless,4.7,81,₹699,"₹2,000",65% off
213,Mivi,"DuoPods K5 TWS Earbuds Metallic Finish, HD calling...",Cobalt Blue, True Wireless,4.2,308,"₹1,399","₹3,999",65% off
214,OPPO,Enco M32 / EWN20 Bluetooth Headset,Black, In the Ear,4.3,"58,311","₹1,799","₹2,999",40% off
215,OPPO,Enco M32 / EWN20 Bluetooth Headset,Green, In the Ear,4.3,"58,311","₹1,799","₹2,999",40% off
216,Aroma,NB120 Tehalka 40 Hours Playing Time Dual Pairing ...,Pastel Yellow, In the Ear,3.8,"1,34,952",₹369,"₹1,499",75% off
217,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4.1,"1,11,172",₹999,"₹5,499",81% off
218,SONY,WI-XB400 Extra Bass Wireless Stereo Headset Blueto...,Blue, In the Ear,4,"9,339","₹2,499","₹4,990",49% off
219,TECHFIRE,FIRE 300 Platinum Series Neckband - Low Price ...,White, In the Ear,3.8,"6,597",₹469,"₹3,850",87% off
220,Boltune,BT-335 Neckband hi-bass Wireless Bluetooth head...,OCEAN BLUE, In the Ear,3.8,"19,277",₹449,"₹3,850",88% off
221,boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",Pebble Black, True Wireless,4.1,"3,27,645","₹1,099","₹2,490",55% off
222,TECHFIRE,T20 60 Hours Playing Time Fast Charging Blueto...,Black, In the Ear,3.8,"1,107",₹399,"₹3,850",89% off
223,FUR,JADEN AirJams GameX Bluetooth 5.2 Gaming Headphone ...,Black, True Wireless,3.8,"11,415",₹769,"₹3,000",74% off
224,DigiClues,Earbud F9 Earbuds/TWs/buds 5.1 Earbuds with 3...,Black, True Wireless,3.7,271,₹749,"₹7,999",90% off
225,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.2,"14,276","₹1,299","₹4,999",74% off
226,OPPO,Enco Buds 2 with 28 Hours Playback and AI Deep Noi...,Lime Green, True Wireless,4.2,"81,506","₹1,799","₹3,999",55% off
227,RFV1,TWS Bluetooth Earphones Touch Sensor with in Built...,White, True Wireless,3.6,919,₹435,₹999,56% off
228,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Grey, True Wireless,3.8,"47,151","₹1,099","₹7,999",86% off
229,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Red, True Wireless,3.8,"47,151","₹1,099","₹7,999",86% off
230,PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",White, True Wireless,3.7,"6,379",₹799,"₹2,599",69% off
231,boAt,Rockerz 255F Pro with ASAP Charge and upto 10 Hour...,Active Black, In the Ear,4.1,"4,12,222",₹999,"₹3,499",71% off
232,Aroma,NB128 Happy 24 Hours Playing Time | Deep Bass| Ma...,Black  Yellow, In the Ear,3.7,84,₹321,"₹1,499",78% off
233,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless headphone...,Red, In the Ear,3.9,"1,88,519",₹449,"₹3,850",88% off
234,NS,"WORLD Maverix TWS Earbuds, 20H Playtime,IPX5,Bluetoo...",Black, True Wireless,4.2,6,₹599,"₹3,800",84% off
235,OPPO,Enco M32 / EWN20 Bluetooth Headset,Black, In the Ear,4.3,"58,311","₹1,799","₹2,999",40% off
236,Aroma,NB119 Love - 80 Hours Playtime Bluetooth Neckband...,Black, In the Ear,4,"7,076",₹599,"₹2,999",80% off
237,Boult,"Audio YCharge with Pro+ Calling Mic, Full Charge ...",Blue, In the Ear,4,"20,048",₹699,"₹1,999",65% off
238,U&i,Massive 80Hrs Battery Backup Bluetooth Neckband wit...,Blue, In the Ear,4.5,39,₹599,"₹2,999",80% off
239,Boult,"Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",Black, In the Ear,4,"49,704",₹799,"₹4,499",82% off
240,OPPO,Enco M32 / EWN20 Bluetooth Headset,Green, In the Ear,4.3,"58,311","₹1,799","₹2,999",40% off
241,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4.1,"1,11,172",₹999,"₹5,499",81% off
242,Aroma,NB119 Genius - 60 Hours Playtime Fast Charging Wi...,Black, In the Ear,3.9,"16,094",₹431,"₹2,999",85% off
243,Nexbird,B11 Neckband Truly Wireless Bluetooth 5.0 Headp...,Blue, In the Ear,4.4,5,₹284,"₹1,899",85% off
244,Noise,"Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",Midnight Blue, True Wireless,4.1,"2,52,983","₹1,299","₹2,999",56% off
245,Boult,"Audio Gearpods with 32H Playtime, Fast Charging, ...",White, True Wireless,3.7,"1,47,072",₹899,"₹5,999",85% off
246,Mivi,Duopods F30 with 42 hours battery Fast Charging TW...,Black, True Wireless,3.9,"1,84,082",₹899,"₹2,999",70% off
247,Mivi,DuoPods F40 with 50 Hrs Playtime I13mm Drivers|Mad...,Black, True Wireless,3.8,"1,09,649",₹899,"₹2,999",70% off
248,boAt,Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,Cherry Blossom, True Wireless,4,"13,45,614",₹899,"₹2,990",69% off
249,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.2,"14,276","₹1,299","₹4,999",74% off
250,snowbudy,"Bluetooth Earbuds with High Bass, Full Touch, ...",Black BOX BATTERY BACKUP 48 HR, True Wireless,3.7,22,₹599,"₹3,399",82% off
251,Aroma,NB119C Carter 48 Hours Playing Time Fast Charging...,Yellow, In the Ear,4,"66,986",₹395,"₹2,299",82% off
252,boAt,Rockerz 235v2/238 with ASAP Charge and upto 8 Hour...,Charcoal Black, In the Ear,4.2,"16,44,667","₹1,199","₹2,990",59% off
253,Mivi,"DuoPods K5 TWS Earbuds Metallic Finish, HD calling...",Raven Black, True Wireless,4.2,308,"₹1,399","₹3,999",65% off
254,Mivi,"Collar D25 Earphones with fast charge, 24Hours pla...",Red, In the Ear,4,"30,198",₹699,"₹2,999",76% off
255,TECHFIRE,F-700 40 Hours Playtime Bluetooth Wireless Nec...,Gold, In the Ear,3.8,760,₹499,"₹3,850",87% off
256,boAt,Rockerz 333 Pro with 60 Hours Battery Bluetooth He...,Navy Blue, In the Ear,4.2,"42,691","₹1,799","₹2,990",39% off
257,Boult,"Audio YCharge with Pro+ Calling Mic, Full Charge ...",Black, In the Ear,4,"20,048",₹699,"₹1,999",65% off
258,Aroma,"NB119 Unity 100 Hours Playtime ENC, EQ modes, Fas...",Black, In the Ear,3.6,"1,461",₹454,"₹3,299",86% off
259,TECHFIRE,T20 60 Hours Playing Time Fast Charging Blueto...,Black, In the Ear,3.8,"1,107",₹399,"₹3,850",89% off
260,Dozokil,M10 TWS Bluetooth Earbuds Wireless Earbuds (Bla...,Black, True Wireless,3.8,149,₹495,"₹2,099",76% off
261,boAt,Rockerz 235 Pro with upto 20 Hours Playback & ASAP...,Ash Grey, In the Ear,4.2,"1,24,994",₹899,"₹2,490",63% off
262,DigiClues,Classic N21 TWS LED With Flashlight 40H Playt...,Black, True Wireless,3.9,152,₹899,"₹7,999",88% off
263,LONGWINGS,Deep Bass Bluetooth 5.2 Light Weight with Wir...,White, True Wireless,3.8,52,₹499,"₹2,999",83% off
264,Lichen,B11 Neckband Bluetooth Headset Earphone Sports R...,Blue, In the Ear,3.8,"47,151",₹288,"₹1,599",81% off
265,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Grey, True Wireless,4.1,"1,999","₹1,099","₹7,999",86% off
266,Mivi,"Commando X9 Earbuds, Dual RGB Lights, 35ms Low Lat...",Black, True Wireless,3.7,338,"₹1,499","₹2,999",50% off
267,snowbudy,X2 Pro Wireless Earbuds with Support Upto 6-8h...,Black, True Wireless,3.7,367,₹499,"₹1,799",72% off
268,ULTADOR,"Audio Bass Blast YCharge with Fast Charging , P...",Green, In the Ear,4,"4,05,147",₹475,"₹1,999",76% off
269,Boult,"Audio Curve with BoomX Rich Bass, Flexi-band, Mag...",Blue  Black  Grey, In the Ear,4.1,"11,076",₹699,"₹3,499",80% off
270,Aroma,NB119 Platinum - 48 Hours Playtime Bluetooth Neck...,Black, In the Ear,4,"30,198",₹499,"₹2,499",80% off
271,Mivi,"Collar D25 Earphones with fast charge, 24Hours pla...",Blue, In the Ear,3.9,"20,871",₹699,"₹2,999",76% off
272,Aroma,NB119 Jersey - 48 Hours Playtime Fast Charging Wi...,Red, In the Ear,4.1,"17,364",₹399,"₹2,499",84% off
273,KRAZZY,INDIA B11 BLUE Bluetooth without Mic Headset,Blue  Black, In the Ear,3.7,"1,097",₹279,₹599,53% off
274,Digiwins,B235 Neckband With ASAP Fast Charging Stereo S...,Black, In the Ear,5,14,₹449,"₹2,999",85% off
275,Mivi,"Collar D25 Earphones with fast charge, 24Hours pla...",Blue, In the Ear,4,"30,198",₹699,"₹2,999",76% off
276,Boult,"Audio YCharge with Pro+ Calling Mic, Full Charge ...",Blue, In the Ear,4,"20,048",₹699,"₹1,999",65% off
277,TimbreSonic,Bounce Plus in-Ear Wireless Bluetooth Smart...,Grey, True Wireless,3.9,127,₹494,"₹1,999",75% off
278,truke,"Yoga Mystic with 50H Playtime, Fast Charge, ENC, ...",Black, In the Ear,3.8,"2,073",₹799,"₹2,999",73% off
279,Aroma,NB120 Last 36 Hours Playtime Bluetooth Neckband E...,Blue, In the Ear,3.8,598,₹347,"₹1,499",76% off
280,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4.1,"1,11,172",₹999,"₹5,499",81% off
281,Noise,"Nerve Neckband with 25 Hours of Playtime, 10mm Dr...",Stone Blue, In the Ear,3.9,"70,950",₹799,"₹2,499",68% off
282,GENTLEMOB,M19 Gaming Earbuds Bluetooth 5.0 wireless Pro...,Black, True Wireless,5,3,₹589,"₹1,999",70% off
283,Noise,"Air Buds Mini with 15 Hours Playtime, Tru Bass Te...",Pale Blue, True Wireless,3.9,"2,16,863","₹1,199","₹2,999",60% off
284,Boult,"Audio Gearpods with 32H Playtime, Fast Charging, ...",White, True Wireless,3.7,"1,47,072",₹899,"₹5,999",85% off
285,Mivi,DuoPods F60 ENC with 50+ Hrs Playtime| Made in Ind...,Blue, True Wireless,3.8,"70,531",₹999,"₹2,999",66% off
286,ENTROK,M19 TWS Bluetooth 5.1 Wireless Earbuds With 2000...,Black, True Wireless,3.7,264,₹589,"₹1,999",70% off
287,OPPO,Enco Buds 2 with 28 Hours Playback and AI Deep Noi...,Lime Green, True Wireless,4.2,"81,506","₹1,799","₹3,999",55% off
288,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.2,"14,276","₹1,299","₹4,999",74% off
289,truke,"Buds Q1 with 30H Playtime, Quad Mic ENC, Game Mod...",Black, True Wireless,4,"69,158",₹999,"₹3,499",71% off
290,U&i,Burn Series Single Ear Business Headset Bluetooth H...,Silver, In the Ear,3.9,"3,975",₹449,"₹1,699",73% off
291,Ucool,Nexa 100 Hours Playtime Bluetooth Wireless Neckba...,Black  Teal Green, In the Ear,4,"9,849",₹699,"₹2,999",76% off
292,Boult,"Audio YCharge with Pro+ Calling Mic, Full Charge ...",Black, In the Ear,4,"20,048",₹699,"₹1,999",65% off
293,Aroma,NB119C Carter 48 Hours Playing Time Fast Charging...,Blue, In the Ear,4,"66,986",₹395,"₹2,299",82% off
294,Noise,"Nerve Neckband with 25 Hours of Playtime, 10mm Dr...",Mist Grey, In the Ear,3.9,"70,950",₹799,"₹2,499",68% off
295,boAt,"Rockerz 260 with Beast Mode, ENx Tech and ASAP Cha...",Electric Purple, In the Ear,4.2,"41,194","₹1,299","₹2,499",48% off
296,boAt,Rockerz 235 Pro with upto 20 Hours Playback & ASAP...,Ash Grey, In the Ear,4.2,"1,24,994",₹899,"₹2,490",63% off
297,U&i,Titanic Series - Low Price Bluetooth Neckband Bluet...,Black, In the Ear,4,"1,72,454",₹404,"₹1,999",79% off
298,Aroma,NB119 King 100 Hours Playting Time Fast Charging ...,Black, In the Ear,4,"2,144",₹599,"₹3,299",81% off
299,snowbudy,"(TWS) with Mic Bluetooth 5.0 6Hours Playtime, ...",Black BOX BATTERY BACKUP 48 HR, True Wireless,4.1,59,₹599,"₹2,199",72% off
300,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Grey, True Wireless,3.8,"47,151","₹1,099","₹7,999",86% off
301,GREE,MATT M19 Bluetooth 5.1 Wireless Earbuds Touch Wate...,Black, True Wireless,3.5,27,₹593,"₹4,199",85% off
302,TXOR,"SENSO V 1.0 TWS EARBUDS, Bass+ 20 H Play time & Fa...",Black, True Wireless,3.5,"3,262",₹572,"₹1,299",55% off
303,TEG,"EARBUDS SMALL SIZE, SUPER LIGHTWEIGHT earphone Blue...",White, In the Ear,3.6,8,₹499,"₹2,999",83% off
304,ORAIMO,"Airbuds 3 Earbuds with ENC, up to 20 hours Playb...",Blue, True Wireless,4,"7,050",₹899,"₹2,500",64% off
305,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Red, True Wireless,3.8,"47,151","₹1,099","₹7,999",86% off
306,Noise,"Buds VS102 Plus with 70 Hrs Playtime, Environment...",Serene Blue, In the Ear,4,"29,758","₹1,599","₹3,999",60% off
307,Aroma,NB119 Magic 100 Hours Playing Time Fast Charging ...,Green, In the Ear,4,"8,531",₹663,"₹3,299",79% off
308,Boult,"Audio Curve with BoomX Rich Bass, Flexi-band, Mag...",Blue  Black  Grey, In the Ear,4,"4,05,147",₹699,"₹3,499",80% off
309,TECHFIRE,M-31 Pro Neckband Wireless Bluetooth Headphone...,Green, In the Ear,3.9,"6,671",₹449,"₹3,850",88% off
310,U&i,Pro 50Hrs Battery Backup Bluetooth Neckband with Ma...,Blue, In the Ear,3.6,13,₹499,"₹3,199",84% off
311,Boult,"Audio Curve with BoomX Rich Bass, Flexi-band, Mag...",Black  Grey, In the Ear,4,"4,05,147",₹699,"₹3,499",80% off
312,Mivi,"DuoPods K7 Metallic Finish,AI ENC,50H Playtime,Low...",Galaxy Black, In the Ear,4.1,"2,992","₹1,299","₹4,999",74% off
313,Aroma,"NB119 Love 80 Hours Playtime Fast Charging, Dual ...",Green, In the Ear,4,"7,076",₹599,"₹2,999",80% off
314,Noise,"Nerve Pro with upto 35hrs of playtime, ESR, Insta...",Neon Green, In the Ear,3.9,"70,950",₹899,"₹2,799",67% off
315,Boult,"Audio Curve ANC with Active Noice Cancellation, E...",Black, In the Ear,3.7,"2,493","₹1,499","₹5,499",72% off
316,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,3.6,"6,182",₹546,"₹1,999",72% off
317,U&i,Burn Series Single Ear Business Headset Bluetooth H...,Silver, In the Ear,3.9,"3,975",₹449,"₹1,699",73% off
318,SONY,WI-C100 with 25 Hours Battery Life Bluetooth Heads...,Grey, In the Ear,3.5,"6,986","₹1,699","₹2,790",39% off
319,U&i,Titanic Series - Low Price Bluetooth Neckband Bluet...,Black, In the Ear,4,"1,72,454",₹404,"₹1,999",79% off
320,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.7,"8,896",₹546,"₹1,999",72% off
321,boAt,Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,Cherry Blossom, True Wireless,4,"13,45,614",₹899,"₹2,990",69% off
322,realme,Techlife Buds T100 with up to 28 Hours Playback ...,White, True Wireless,4.3,"55,154","₹1,499","₹2,999",50% off
323,Boult,"Audio Maverick with Quad Mic ENC, 45ms Low Latenc...",Black, True Wireless,4,"7,225","₹1,299","₹4,499",71% off
324,Mivi,"DuoPods K5 TWS Earbuds Metallic Finish, HD calling...",Cobalt Blue, True Wireless,4.2,308,"₹1,399","₹3,999",65% off
325,Lichen,B11 Neckband Bluetooth Headset Earphone Sports R...,Blue, In the Ear,5,4,₹288,"₹1,599",81% off
326,Boult,"Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",Graphite Black, True Wireless,4.1,"22,458","₹1,299","₹2,999",56% off
327,Boult,"Audio PowerBuds with Inbuilt Powerbank, 120H Batt...",Black, True Wireless,3.8,"5,418","₹1,299","₹8,999",85% off
328,boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",Pebble Black, True Wireless,4.1,"3,27,645","₹1,099","₹2,490",55% off
329,Aroma,"NB119 Diamond 50 Hours Playtime Fast Charging, Du...",Green, In the Ear,4,"11,877",₹421,"₹2,499",83% off
330,Mivi,Collar Classic Pro TWS Neckband with 72 Hours of P...,Red, In the Ear,4,"25,909",₹899,"₹2,999",70% off
331,Ucool,Elite 100 Hours Playtime Wireless Neckband headph...,Black  Grey, In the Ear,4,"4,640",₹690,"₹2,999",76% off
332,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless headphone...,Red, In the Ear,3.9,"1,88,519",₹449,"₹3,850",88% off
333,HOPPUP,"ALPHA Neckband with 50H Playtime, Gaming Mode, E...",Red, In the Ear,3.8,"3,276",₹499,"₹1,499",66% off
334,Boult,"Audio Curve with BoomX Rich Bass, Flexi-band, Mag...",Black  Grey, In the Ear,4,"4,05,147",₹699,"₹3,499",80% off
335,Ucool,Nexa 100 Hours Playtime Bluetooth Wireless Neckba...,Black  Teal Green, In the Ear,4,"9,849",₹699,"₹2,999",76% off
336,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless Bluetooth...,Grey, In the Ear,3.9,"1,88,519",₹445,"₹3,850",88% off
337,KRAZZY,INDIA headphone0011 Bluetooth Headset,Black, In the Ear,3.7,734,₹279,₹999,72% off
338,Mivi,DuoPods F40 with 50 Hrs Playtime I13mm Drivers|Mad...,Black, True Wireless,3.8,"1,09,649",₹899,"₹2,999",70% off
339,truke,"BTG Beta with 13mm Titanium Drivers, 38H Playtime...",White, True Wireless,3.9,"4,768",₹899,"₹2,499",64% off
340,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,White, True Wireless,3.7,"8,896",₹546,"₹1,999",72% off
341,realme,Buds Air 3 with Fast Charge & Active Noise Cance...,Starry Blue, True Wireless,4.2,"45,985","₹3,999","₹5,999",33% off
342,ORAIMO,"Airbuds 3 Earbuds with ENC, up to 20 hours Playb...",Blue, True Wireless,4,"7,050",₹899,"₹2,500",64% off
343,boAt,"Airdopes 100 with 50 Hours Playback, Quad Mics ENx...",Emerald Green, In the Ear,3.8,"15,087","₹1,399","₹4,490",68% off
344,TECHFIRE,Fire-T10 -48 Hours Playing Time Fast Charging ...,OCEAN  Blue, In the Ear,3.8,"2,551",₹399,"₹3,850",89% off
345,FD1,S_S L21 Wireless bluetooth headphone Waterproof Ste...,Black, True Wireless,3.8,"27,292",₹485,"₹1,298",62% off
346,SONY,WI-XB400 Extra Bass Wireless Stereo Headset Blueto...,Black, In the Ear,4,"9,339","₹2,499","₹4,990",49% off
347,Aroma,NB119 Jersey - 48 Hours Playtime Fast Charging Wi...,Red, In the Ear,3.9,"20,871",₹399,"₹2,499",84% off
348,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless Bluetooth...,Black, In the Ear,3.9,"1,88,519",₹458,"₹3,850",88% off
349,Aroma,NB119C Carter 48 Hours Playing Time Fast Charging...,Yellow, In the Ear,4,"66,986",₹395,"₹2,299",82% off
350,TECHFIRE,M-31 Pro Neckband Wireless Bluetooth Headphone...,Green, In the Ear,3.9,"6,671",₹449,"₹3,850",88% off
351,Aroma,NB119 Rock - 40 Hours Playtime Bluetooth Neckband...,Blue, In the Ear,3.9,"26,422",₹597,"₹2,999",80% off
352,FUR,JADEN AirJams GenZ TWS Earbuds 24 Hour Battery HD M...,Black, True Wireless,4.7,81,₹699,"₹2,000",65% off
353,boAt,Rockerz 333 Pro with 60 Hours Battery Bluetooth He...,Cherry Black, In the Ear,4.2,"42,691","₹1,799","₹2,990",39% off
354,TECHFIRE,Live 1000 Neckband wireless headphones with 36...,Black, In the Ear,3.8,"2,324",₹499,"₹3,850",87% off
355,Mivi,"Collar D25 Earphones with fast charge, 24Hours pla...",Blue, In the Ear,4,"30,198",₹699,"₹2,999",76% off
356,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",White, In the Ear,4.2,"14,276","₹1,299","₹4,999",74% off
357,U&i,Pro 50Hrs Battery Backup Bluetooth Neckband with Ma...,Blue, In the Ear,3.6,13,₹499,"₹3,199",84% off
358,Boltune,BT-335 Neckband hi-bass Wireless Bluetooth head...,Black, In the Ear,3.8,"19,277",₹449,"₹3,850",88% off
359,Boult,"Audio X45 with Quad Mic ENC, 40H Playtime, 45ms U...",Green, True Wireless,4,"10,964","₹1,099","₹4,999",78% off
360,Boult,"Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",Blue, In the Ear,4,"49,704",₹799,"₹4,499",82% off
361,PTron,"Basspods P481, 60Hrs Playtime, Deep Bass, ENC Ste...",Black, In the Ear,4,"7,783",₹799,"₹3,199",75% off
362,Xezbi,(True buds) Wireless headphone Bluetooth earphone...,White, True Wireless,3.7,502,₹485,"₹1,699",71% off
363,FPX,Jazz 80 Hours Playtime with Deep Bass Neckband Head...,Green, In the Ear,4,51,₹379,"₹1,499",74% off
364,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4.1,"1,11,172",₹999,"₹5,499",81% off
365,Ggkart,K1 BLACK Bluetooth Headset Bluetooth Headset,Black, In the Ear,3.6,374,₹250,"₹1,199",79% off
366,Mivi,"DuoPods K1 compact earbuds,AI-ENC,TWS with 42H Pla...",Bold Black, In the Ear,4.1,710,₹999,"₹2,999",66% off
367,blue,"seed BBD Neckband Crystal Clear Sound,Vibration Al...",Black, In the Ear,4,10,₹349,₹399,12% off
368,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.2,"14,276","₹1,299","₹4,999",74% off
369,ORAIMO,"Necklace 4 Fast Charge, 50hr PlayTime, Super Bas...",Blue  Green, In the Ear,4.2,"2,022","₹1,299","₹3,499",62% off
370,Aroma,NB128 Happy 24 Hours Playting Time Deep Bass Made...,Black  Black, In the Ear,3.7,178,₹314,"₹1,499",79% off
371,Aroma,NB119 Diamond - 50 Hours Playtime Bluetooth Neckb...,Blue, In the Ear,4,"11,877",₹421,"₹2,499",83% off
372,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Red, True Wireless,3.8,"47,151","₹1,099","₹7,999",86% off
373,KIMTOK,Bluetooth Wireless Earphone Waterproof Headphone...,Black, In the Ear,3.8,"2,412",₹449,"₹1,099",59% off
374,U&i,Massive 80Hrs Battery Backup Bluetooth Neckband wit...,Silver, In the Ear,4.5,39,₹599,"₹2,999",80% off
375,U&i,Massive 80Hrs Battery Backup Bluetooth Neckband wit...,Blue, In the Ear,4.5,39,₹599,"₹2,999",80% off
376,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Grey, True Wireless,3.8,"47,151","₹1,099","₹7,999",86% off
377,OnePlus,Buds Z2 with Active Noise cancellation Bluetoot...,Obsidian Black, In the Ear,4.2,"32,911","₹4,999","₹5,999",16% off
378,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.7,"8,896",₹546,"₹1,999",72% off
379,Alfanso,"Earbud White, With (Wireless Charging Case) Blu...",Metallic White, True Wireless,3.6,54,₹499,"₹1,299",61% off
380,PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",Black, True Wireless,3.7,"6,379",₹799,"₹2,599",69% off
381,OnePlus,Nord Buds Bluetooth Headset,Black Slate, True Wireless,4.3,"77,759","₹2,499","₹2,999",16% off
382,Boult,"Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",Pista Green, True Wireless,4.1,"22,458","₹1,299","₹2,999",56% off
383,Wings,Phantom 500 with ENC and 40 ms latency game mode ...,Black, True Wireless,4,"6,185","₹1,299","₹4,999",74% off
384,Boult,"Audio Maverick with Quad Mic ENC, 45ms Low Latenc...",Black, True Wireless,4,"7,225","₹1,299","₹4,499",71% off
385,Aroma,NB119C Carter 48 Hours Playing Time Fast Charging...,Pink, In the Ear,4,"66,986",₹395,"₹2,299",82% off
386,KRAZZY,INDIA B11 BLUE Bluetooth without Mic Headset,Blue  Black, In the Ear,3.7,"1,097",₹279,₹599,53% off
387,U&i,Pro 50Hrs Battery Backup Bluetooth Neckband with Ma...,Red, In the Ear,3.3,18,₹499,"₹3,199",84% off
388,Boult,"Audio X50 with 40Hr Battery, Quad Mic ENC, 45ms U...",White, True Wireless,4,"28,901","₹1,199","₹4,999",76% off
389,TECHFIRE,Fire-155 Neckband hi-bass Wireless Bluetooth h...,TEAL GREEN, In the Ear,3.7,"3,072",₹409,"₹1,999",79% off
390,Aroma,NB119 Jersey - 48 Hours Playtime Fast Charging Wi...,Black, In the Ear,3.9,"20,871",₹399,"₹2,499",84% off
391,Lichen,B11 Neckband Truly Wireless Bluetooth 5.0 Headph...,Black, In the Ear,4,"4,05,147",₹299,"₹1,599",81% off
392,Aroma,NB119 Freedom - 72 Hours Playtime Bluetooth Neckb...,Orange, In the Ear,3.9,"1,693",₹489,"₹2,999",83% off
