,company,name,color,type,ratings,people_review,offer_price,real_price,offer
97,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Red, True Wireless,3.8,"47,151",₹499,"₹3,499",85% off
98,boAt,Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and up...,Active Black, In the Ear,4.2,"6,24,229","₹1,799","₹2,299",21% off
99,U&i,ProPlus 50 Hrs Battery Backup Bluetooth Neckband wi...,Blue, In the Ear,3.5,26,"₹1,299","₹4,999",74% off
100,OnePlus,Bullets Wireless Z2 Bluetooth Headset,Beam Blue, In the Ear,4.2,"5,06,991","₹1,599","₹2,490",35% off
101,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.2,"14,276",₹299,"₹1,999",85% off
102,boAt,Rockerz 333 Upto 30 Hours Battery Bluetooth Headse...,Cherry Black, In the Ear,4.1,"2,26,716",₹419,"₹2,499",83% off
103,U&i,Trendy 24Hrs Battery Backup Bluetooth Neckband with...,Red, In the Ear,4.2,20,₹546,"₹1,999",72% off
104,Aroma,NB119B Badshah 60 Hours Playing Time Fast Chargin...,Blue, In the Ear,4,"2,40,115","₹1,099","₹2,490",55% off
105,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.7,"8,896",₹498,"₹1,898",73% off
106,boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",Pearl White, True Wireless,4.1,"3,27,645","₹2,999","₹3,299",9% off
107,Fome,M10 TWS Bluetooth Earbuds Wireless Earbuds Bluetoo...,Black, In the Ear,3.4,130,"₹1,099","₹7,999",86% off
108,OnePlus,Nord Buds 2 True Wireless Earbuds with 25dB Act...,Thunder Gray, True Wireless,4.3,"2,432",₹559,"₹1,999",72% off
109,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Grey, True Wireless,3.8,"47,151",₹494,"₹1,799",72% off
110,Aroma,NB140 Dhamaal 24 Hours* Playtime | Deep Bass | Ma...,Black, True Wireless,3.6,871,₹899,"₹5,999",85% off
111,Fushion,"Earbud White, With (Wireless Charging Case) Blu...",White, True Wireless,3.5,137,"₹1,099","₹2,490",55% off
112,Boult,"Audio Gearpods with 32H Playtime, Fast Charging, ...",Black, True Wireless,3.7,"1,47,072",₹599,"₹6,999",91% off
113,boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",Pebble Black, True Wireless,4.1,"3,27,645",₹499,"₹2,850",82% off
114,SFZ,Mini Bluetooth Speaker Wireless Handsfree Car Bicyc...,Multicolor, Mono Channel,3.9,"28,990",₹899,"₹2,490",63% off
115,TECHFIRE,Platinum Series Neckband - Low Price Bluetooth...,Black, In the Ear,4.2,"1,24,994",₹649,"₹2,999",78% off
116,myxes,New Edition TWS M19 Gaming Earbuds Bluetooth 5.0 ...,Black, In the Ear,4.2,56,₹535,"₹1,999",73% off
117,truke,"BTG Alpha Earbuds with Game Mode, 38H Playtime, 7...",Black, True Wireless,3.9,"16,564",₹699,"₹2,499",72% off
118,GAGANDEEP,TWS i12 Bluetooth Wireless Earphone Touch Sen...,Multicolor, True Wireless,3.4,"1,321",₹499,"₹2,999",83% off
119,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,3.6,"6,182",₹546,"₹1,999",72% off
120,Aroma,NB119 Advance 48 Hours Playing Time Fast Charging...,Black  Yellow, In the Ear,4,"34,492",₹399,"₹2,499",84% off
121,Aroma,NB120 Tehalka 40 Hours Playing Time Dual Pairing ...,Black  Silver, In the Ear,3.8,"1,34,952",₹346,"₹1,499",76% off
122,boAt,"Rockerz 255 Max with 60 Hours Playback, EQ Modes &...",Stunning Black, In the Ear,4.1,"1,997","₹1,399","₹3,990",64% off
123,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.7,"8,896",₹546,"₹1,999",72% off
124,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless Bluetooth...,Grey, In the Ear,3.9,"1,88,519",₹445,"₹3,850",88% off
125,Boult,"Audio YCharge with Pro+ Calling Mic, Full Charge ...",Blue, In the Ear,4,"20,048",₹699,"₹1,999",65% off
126,Ucool,80 Hours Playtime Wireless Neckband headphones Ea...,Teal Green, In the Ear,4,"11,962",₹599,"₹2,499",76% off
127,Mivi,"DuoPods K5 TWS Earbuds Metallic Finish, HD calling...",Cobalt Blue, True Wireless,4.2,308,"₹1,399","₹3,999",65% off
128,Nexbird,B11 Neckband Truly Wireless Bluetooth 5.0 Headp...,Blue, In the Ear,3.7,186,₹284,"₹1,899",85% off
129,JVMART,B235 BT SUPER SOUND NECKBAND Bluetooth Headset,Blue, True Wireless,3.9,"1,47,764",₹385,"₹1,999",80% off
130,Boult,"Audio XPods with Mega 13mm Drivers, 20H Battery, ...",Blue, True Wireless,4.1,"3,27,645",₹899,"₹4,999",82% off
131,boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",Pebble Black, True Wireless,3.6,"6,182","₹1,099","₹2,490",55% off
132,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Black, True Wireless,4.2,"14,276",₹546,"₹1,999",72% off
133,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.2,6,"₹1,299","₹4,999",74% off
134,NS,"WORLD Maverix TWS Earbuds, 20H Playtime,IPX5,Bluetoo...",Black, True Wireless,3.9,"1,88,519",₹599,"₹3,800",84% off
135,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless headphone...,Red, In the Ear,4.2,364,₹449,"₹3,850",88% off
136,Portronics,Harmonics Z5 Wireless Stereo Neckband Blueto...,Black, In the Ear,4,"11,877",₹699,"₹2,499",72% off
137,Aroma,NB119 Diamond - 50 Hours Playtime Bluetooth Neckb...,Black, In the Ear,3.5,26,₹421,"₹2,499",83% off
138,U&i,ProPlus 50 Hrs Battery Backup Bluetooth Neckband wi...,Black, In the Ear,3.7,"8,896",₹499,"₹3,499",85% off
139,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,White, True Wireless,4.2,"1,24,994",₹546,"₹1,999",72% off
140,boAt,Rockerz 235 Pro with upto 20 Hours Playback & ASAP...,Active Black, In the Ear,4.1,"8,135","₹1,099","₹2,490",55% off
141,boAt,Rockerz 255 Arc with ENx Technology and upto 30 Ho...,Cosmos Black, In the Ear,4,"49,704","₹1,299","₹2,990",56% off
142,Boult,"Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",Red, In the Ear,3.7,"6,379",₹799,"₹4,499",82% off
143,PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",Black, True Wireless,3.8,"2,303",₹799,"₹2,599",69% off
144,FPX,Buzz 35 Hours Playtime with Deep bass Neckband Head...,Red, True Wireless,3.9,22,₹399,"₹2,499",84% off
145,GENTLEMOB,Latest Earbuds/Tws/Xpods M10 Buds True wirele...,Support Iphone/Android phones 10hrs playtime, True Wireless,3.5,57,₹498,"₹1,299",61% off
146,Fome,M10 Earbuds/TWS/buds 5.1 Earbuds with 280H Playtim...,Black, In the Ear,3.8,"2,551",₹489,"₹2,299",78% off
147,TECHFIRE,Fire-T10 -48 Hours Playing Time Fast Charging ...,OCEAN  Blue, In the Ear,4.6,9,₹399,"₹3,850",89% off
148,flying,india Premium TWS L21 True HIFI Bluetooth Earbud...,Black, True Wireless,4,"13,45,614",₹424,"₹2,199",80% off
149,boAt,Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,Active Black, True Wireless,3.9,"1,47,764",₹899,"₹2,990",69% off
150,Boult,"Audio XPods with Mega 13mm Drivers, 20H Battery, ...",Black, True Wireless,3.9,"1,88,519",₹899,"₹4,999",82% off
151,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless Bluetooth...,Black, In the Ear,3.7,"74,252",₹458,"₹3,850",88% off
152,Mivi,DuoPods M30 earbuds with 42 hours of playtime | Ma...,Blue, True Wireless,4,"20,048",₹799,"₹2,999",73% off
153,Boult,"Audio YCharge with Pro+ Calling Mic, Full Charge ...",Black, In the Ear,3.9,"20,871",₹699,"₹1,999",65% off
154,Aroma,NB119 Jersey - 48 Hours Playtime Fast Charging Wi...,Blue, In the Ear,4.7,81,₹399,"₹2,499",84% off
155,boAt,"Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...",Royal Blue, In the Ear,3.9,"1,12,074","₹1,299","₹2,990",56% off
156,HOPPUP,"AirDoze M30 with BT 5.3, 30H Playtime, Dual Mic ...",Black  Gold, True Wireless,3.6,536,₹599,"₹1,999",70% off
157,Mivi,DuoPods M30 earbuds with 42 hours of playtime | Ma...,Black, True Wireless,3.7,"74,252",₹799,"₹2,999",73% off
158,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,3.6,"6,182",₹546,"₹1,999",72% off
159,boAt,Rockerz 333 Upto 30 Hours Battery Bluetooth Headse...,Teal Green, In the Ear,4.1,"2,26,716","₹1,599","₹2,490",35% off
160,realme,Buds Wireless 2S with Dual Device Switching & Ty...,Black  Yellow, In the Ear,4.1,"20,177","₹1,499","₹2,999",50% off
161,Mivi,Collar Classic Neckband with Fast Charging Bluetoo...,Black, In the Ear,3.9,"1,94,790",₹599,"₹2,999",80% off
162,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.7,"8,896",₹546,"₹1,999",72% off
163,Boult,"Audio ProBass Fcharge with 40 hrs Playtime, ENC, ...",Black, In the Ear,4,"58,276",₹899,"₹4,999",82% off
164,Mivi,Collar Classic Neckband with Fast Charging Bluetoo...,Blue, In the Ear,3.9,"1,94,790",₹699,"₹2,499",72% off
165,NOYMI,Wireless Waterproof Bluetooth Neckband earphone w...,Sea-Blue, In the Ear,3.7,135,₹599,"₹1,599",62% off
166,Boult,"Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",Blue, In the Ear,4,"49,704",₹799,"₹4,499",82% off
167,GREE,"MATT Bluetooth Headst Neckband B11 (Red, In The Ea...",Red, In the Ear,4.1,82,₹290,₹999,70% off
168,truke,"Buds S2 Lite with 48H Playtime, ENC, Made in Indi...",Black, True Wireless,4,"12,680",₹899,"₹2,999",70% off
169,truke,"BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",Black, True Wireless,4,"45,280","₹1,099","₹3,499",68% off
170,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",White, In the Ear,4.2,"14,276","₹1,299","₹4,999",74% off
171,FRISTDOWN,I12 TWS Wireless Earbuds Bluetooth 5.0 Earpho...,White, True Wireless,3.6,230,₹430,"₹1,999",78% off
172,SHOPLINE,twins Ti7s bluetooth headphone wireless Blueto...,White, True Wireless,3.5,911,₹429,₹999,57% off
173,TXOR,"SENSO V 1.0 TWS EARBUDS, Bass+ 20 H Playtime & Fas...",Metallic White, True Wireless,3.5,"3,262",₹573,"₹1,299",55% off
174,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4.1,"1,11,172",₹999,"₹5,499",81% off
175,Fire-Boltt,"Fire Pods Ninja Pro 403 Earbuds TWS, ENC & G...",Black, True Wireless,4.2,"7,484","₹1,099","₹5,999",81% off
176,Boult,"Audio XCharge with ENC Mic, 28H Playtime, Ultra-F...",Black, In the Ear,3.8,"71,799",₹799,"₹4,999",84% off
177,Boult,"Audio Curve with BoomX Rich Bass, Flexi-band, Mag...",Blue  Black  Grey, In the Ear,4,"4,05,147",₹699,"₹3,499",80% off
178,Mivi,"DuoPods K5 TWS Earbuds Metallic Finish, HD calling...",Cobalt Blue, True Wireless,4.2,308,"₹1,399","₹3,999",65% off
179,SHOPLINE,B11 Truly Wireless Bluetooth On Ear Neckband E...,Red, In the Ear,3.3,65,₹299,₹999,70% off
180,Boult,"Audio ProBass Fcharge with 40 hrs Playtime, ENC, ...",Blue, In the Ear,4,"58,276",₹899,"₹4,999",82% off
181,Aroma,NB119 Genius - 60 Hours Playtime Fast Charging Wi...,Blue, In the Ear,3.9,"16,094",₹431,"₹2,999",85% off
182,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.2,"14,276","₹1,299","₹4,999",74% off
183,Aroma,NB119 King 100 Hours Playting Time Fast Charging ...,Blue, In the Ear,4,"2,144",₹599,"₹3,299",81% off
184,Ggkart,BM K1 BLACK Bluetooth Headset Pack of 2 Bluetoot...,Black, In the Ear,3.2,336,₹364,"₹2,198",83% off
185,Aroma,NB137 Nexon 16 Hours* Playtime Deep Bass True Wir...,White  Silver, True Wireless,3.7,"3,128",₹499,"₹1,499",66% off
186,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Red, True Wireless,3.8,"47,151","₹1,099","₹7,999",86% off
187,truke,"Air Buds Lite with Quad Mic ENC, 10mm Driver, Ear...",Black, True Wireless,4,"32,192",₹899,"₹2,999",70% off
188,Met,style True Wireless Earbuds Mini Bluetooth (Dual L/...,White, True Wireless,3.5,"1,011",₹499,"₹1,699",70% off
189,SAIANSH,ENTERPRISES M10 TWS Bluetooth Earbuds Wireless ...,Black, True Wireless,3.8,687,"₹1,099","₹2,490",55% off
190,boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",Pebble Black, True Wireless,4.1,"3,27,645",₹599,"₹7,999",92% off
191,Earboss,F9-5 Earbuds/TWs/buds 5.1 Earbuds with 280H Pla...,Black, True Wireless,3.7,"2,516",₹546,"₹1,999",72% off
192,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,White, True Wireless,3.7,"8,896",₹391,"₹2,299",82% off
193,Aroma,NB119C Carter 48 Hours Playing Time Fast Charging...,Black  Silver, In the Ear,4,"66,986",₹449,"₹3,850",88% off
194,boAt,"Immortal 131 with Beast Mode, 40 Hours Playback an...",Black, True Wireless,4.2,"4,125","₹1,699","₹3,499",51% off
