,name,price,rating,wifi,GPS,NFC,voice_calling,Bluetooth,Bluetooth_calling,display_size_inches,Touch,ram_gb,memory_inbuilt,water_resistance,dust_proof,scratch_resistance,heart_rate_monitor,Blood_Pressure_monitor,calorie_count,sleep_monitor,step_count,Pedometer,Blood_oxygen,Altimeter,alarm_clock,stopwatch,reminder,timer,battery
317,Fastrack Revoltt X Smartwatch,1799,4.15,False,False,False,False,Bluetooth 5.3,True,1.83,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
318,Fastrack Revoltt Z1 Smartwatch,1899,4.75,False,False,False,False,Bluetooth 5.3,True,1.91,True,,,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,7days Battery
319,Maxima Max Pro Flash Smartwatch,1799,4.4,False,False,False,False,Bluetooth,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
320,boAt Wave Vivid Smartwatch,2299,4.15,False,False,False,False,Bluetooth,True,2.0,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
321,boAt Genesis Pro Smartwatch,2499,4.25,False,False,False,False,Bluetooth 5.3,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
322,Pebble Dare Smartwatch,1399,4.65,False,False,False,False,Bluetooth 5.0,True,1.99,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
323,Pebble Carbon Smartwatch,1999,4.75,False,False,False,False,Bluetooth 5.0,True,1.39,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
324,boAt Lunar Seek Smarwatch,1299,4.25,False,False,False,False,Bluetooth,True,1.39,True,,,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,
325,boAt Lunar Mirage Smartwatch,1499,4.65,False,False,False,False,Bluetooth,True,1.52,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
326,beatXP Unbound Era Smartwatch,1499,4.2,False,False,False,False,Bluetooth,True,2.01,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
327,beatXP Evoke Neo Smartwatch,1299,4.55,False,False,False,False,Bluetooth,True,1.43,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
328,beatXP Duke Smartwatch,1499,4.4,False,False,False,False,Bluetooth 5.3,True,1.43,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
329,beatXP Unbound Pro Smartwatch,2199,4.55,False,False,False,False,Bluetooth 5.2,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
330,beatXP Marv Sense Smartwatch,999,4.45,False,False,False,False,Bluetooth 5.3,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
331,Fire Boltt Apollo 3 Smartwatch,1799,4.4,False,False,False,False,Bluetooth 5.0,True,1.43,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
332,boAt Lunar Prime Smartwatch,1999,4.35,False,False,False,False,Bluetooth,True,1.45,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
333,Maxima Hype Plus Smartwatch,1599,4.05,False,False,False,False,Bluetooth,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
